random 10000

solution_len , count , avg_time
 0 ,     0 , 0.000000
 1 ,     0 , 0.000000
 2 ,     0 , 0.000000
 3 ,     0 , 0.000000
 4 ,     0 , 0.000000
 5 ,     0 , 0.000000
 6 ,     0 , 0.000000
 7 ,     0 , 0.000000
 8 ,     0 , 0.000000
 9 ,     0 , 0.000000
10 ,     0 , 0.000000
11 ,     0 , 0.000000
12 ,     0 , 0.000000
13 ,     0 , 0.000000
14 ,     0 , 0.000000
15 ,    15 , 0.011826
16 ,   258 , 0.082732
17 ,  2602 , 0.270769
18 ,  6752 , 1.123203
19 ,   373 , 4.199473
20 ,     0 , 0.000000


super_flip
solution_len , count , avg_time
20 ,     1 , 54.517168
